image
alpine
ubuntu
debian
centos
rockylinux
almalinux
fedora
amazonlinux
buildpack-deps
busybox
scratch
oraclelinux
opensuse
opensuse/leap
clearlinux
archlinux
photon
ubi9/ubi
ubi9/ubi-minimal
ubi9/ubi-micro
ubi9/ubi-init
ubi8/ubi
ubi8/ubi-minimal
ubi8/ubi-micro
ubi8/ubi-init
ubi7/ubi
ubi7/ubi-minimal
